SRERX,SRERY,ERWRX,ERWRY,WRHRX,WRHRY,SLELX,SLELY,ELWLX,ELWLY,WLHLX,WLHLY,HRHLX,HRHLY,SSSRER,SRERWR,ERWRHR,SSSLEL,SLELWL,ELWLHL,DisHRHL,tanganKiri,tanganKanan,stringnamagerakan
0.181148294,-0.08826,-0.0171162,0.210886266,-0.016412052,0.069223857,-0.045019308,-0.268539528,-0.020296008,-0.238507937,-0.004584281,-0.074584448,-0.56502595,-0.79245289,3.019557201,-1.056422227,-2.993457887,-2.129276731,-2.96966457,0.023723537,0.975691797,Perut,Kepala,Hai
0.157809675,-0.091896111,-0.011586561,0.209191285,-0.010733668,0.095256218,-0.04708387,-0.259681654,-0.031674889,-0.22162522,-0.007627341,-0.073460679,-0.579861832,-0.770901469,3.013257896,-1.016403536,-2.297119715,-2.117274033,-1.968090424,-0.303476911,0.965038305,Perut,Kepala,Hai
0.150692754,-0.123141895,-0.010317582,0.222399067,-0.01528606,0.086130599,-0.051425219,-0.260200372,-0.020579996,-0.212948785,-0.001888601,-0.082001127,-0.542052363,-0.761096375,2.888279858,-0.862976111,-3.089931771,-2.268739126,-3.128792811,-1.970908865,0.93440447,Perut,Kepala,Hai
0.14418591,-0.113420608,-0.0102866,0.216177752,-0.010424613,0.082392517,-0.041428478,-0.257227788,-0.030571667,-0.215915244,-5.25E-05,-0.072277809,-0.54505701,-0.751141566,2.895146027,-0.881215545,-3.1506522,-2.232314703,-3.211745357,-3.054443067,0.928064321,Perut,Kepala,Hai
0.146183785,-0.114439368,-0.011358246,0.207018656,-0.015617612,0.092563574,-0.051227954,-0.257142923,-0.019660935,-0.215999935,-0.001111152,-0.081691572,-0.539811001,-0.76054872,2.899145886,-0.876195588,-3.116054701,-2.27034392,-3.122445672,-2.453715781,0.932656078,Perut,Kepala,Hai
0.144060661,-0.115956649,-0.010315507,0.208528296,-0.010433823,0.09257121,-0.051422999,-0.257142859,-0.011657248,-0.224055554,-0.008919754,-0.073102544,-0.54499475,-0.760015242,2.830357512,-0.868018087,-3.1667911,-2.221864039,-3.081801231,2.301185641,0.935225632,Perut,Kepala,Hai
0.144000047,-0.113445954,-7.96E-06,0.215971087,-0.020563606,0.092316799,-0.051428567,-0.257142857,-0.02056455,-0.226006216,-0.000107191,-0.072000851,-0.534965274,-0.770864209,2.911655816,-0.929347282,-3.005889621,-2.270475315,-3.121655714,-3.072183647,0.938310133,Perut,Kepala,Hai
0.154000001,-0.107873499,-0.020000221,0.218776975,-0.023626767,0.0845088,-0.057261905,-0.257142857,-0.024737904,-0.21627795,-0.010002978,-0.072000024,-0.551804591,-0.761412895,2.899390655,-0.893707417,-3.044525777,-2.244121518,-3.123168192,0.410875554,0.940352567,Perut,Kepala,Hai
0.154285494,-0.116749902,-0.00029321,0.222946587,-0.020296008,0.08228743,-0.051386776,-0.257397487,-0.020443471,-0.216856696,-0.010138891,-0.07317284,-0.555147997,-0.763427016,2.895189911,-0.94838489,-2.984097072,-2.271139713,-3.125360174,3.091753108,0.943939288,Perut,Kepala,Hai
0.154285708,-0.103243053,-0.010008145,0.206192961,-0.010563778,0.092285762,-0.05142741,-0.25714993,-0.020567874,-0.226023797,-0.000281636,-0.072032579,-0.545420778,-0.771206306,2.992782662,-0.959179352,-3.163785413,-2.271121684,-3.121672541,-2.965050736,0.944588654,Perut,Kepala,Hai
0.154285714,-0.102867863,-0.010278004,0.215727582,-0.010293438,0.082563493,-0.051428539,-0.257143054,-0.02057133,-0.226278439,-0.000285601,-0.072000905,-0.545428355,-0.771422397,2.989284038,-0.961854491,-3.15270369,-2.265650567,-3.121570107,-2.962703946,0.944768002,Perut,Kepala,Hai
0.18,0.02,-0.153888889,0.159166667,-0.068611111,0.058055556,-0.05,-0.248333333,-0.02,-0.211666667,-0.009444444,-0.078333333,-0.366944444,-0.827222222,-2.906580438,-0.914742775,-2.698208828,-2.168338158,-3.037100192,2.766393146,0.904987114,Perut,Kepala,Hormat
0.185,0.020555556,-0.165941358,0.164143519,-0.067739198,0.060501543,-0.051388889,-0.256898148,-0.029166667,-0.21587963,-0.001651235,-0.072175926,-0.372692901,-0.851589506,-2.987721353,-0.91584572,-1.074550996,-2.269588586,-3.163937855,-2.07641483,0.929587529,Perut,Kepala,Hormat
0.185142747,0.020571416,-0.166092547,0.167534061,-0.066757515,0.058750387,-0.051428541,-0.255476002,-0.030578061,-0.224055463,-0.000279052,-0.07394458,-0.374006707,-0.853712646,-2.973656861,-0.926306553,-3.150138532,-2.258248731,-3.166492096,-2.920466203,0.932055136,Perut,Kepala,Hormat
0.182087299,0.010849206,-0.177113682,0.175764835,-0.059354375,0.059131955,-0.051428571,-0.257096556,-0.031127168,-0.224834874,-0.00639664,-0.079276238,-0.367055742,-0.858436462,-3.04074069,-0.865228379,-2.185914184,-2.246177969,-3.169854342,-2.990420958,0.933631598,Perut,Kepala,Hormat
0.181282475,0.007330902,-0.17961197,0.169016794,-0.059922341,0.058695318,-0.051482584,-0.257976155,-0.030849635,-0.225134903,-0.010282713,-0.08226796,-0.38313816,-0.852344473,-3.076500315,-0.818436263,1.554609558,-2.244229366,-3.168827691,-3.204470073,0.934516611,Perut,Kepala,Hormat
0.175035624,0.010203636,-0.174989221,0.164694911,-0.061108954,0.060241537,-0.051430072,-0.267166004,-0.030856934,-0.218198192,-0.010285631,-0.080340777,-0.371198282,-0.852287346,-2.989724218,-0.836594567,2.638438708,-2.257496287,-3.180285929,-1.995982614,0.929621641,Perut,Kepala,Hormat
0.174764688,0.003109725,-0.194602615,0.173182635,-0.055957646,0.058619014,-0.061837523,-0.257158307,-0.04113492,-0.226233178,-0.010347443,-0.08199872,-0.3767679,-0.861737876,-3.154125332,-0.766106047,2.091280037,-2.307957848,-3.173629185,-3.126067521,0.940524272,Perut,Kepala,Hormat
0.175132352,0.013697492,-0.185683406,0.176199518,-0.044332157,0.04607275,-0.052551042,-0.26047662,-0.041142637,-0.212950922,-0.010287429,-0.082277742,-0.387687997,-0.853381608,-3.02522467,-0.860635759,0.199132334,-2.27483819,-1.128527853,-3.161503334,0.937358416,Perut,Kepala,Hormat
0.174857355,0.000573841,-0.184788336,0.184510956,-0.050543466,0.05198771,-0.051205672,-0.257307467,-0.030865079,-0.216159684,-0.010285716,-0.082123671,-0.371255932,-0.843937794,-3.037052686,-0.81043067,-2.16315058,-2.268909132,-3.173550749,-3.111845788,0.921993119,Perut,Kepala,Hormat
0.174857149,0.000571496,-0.185133009,0.184569749,-0.051403985,0.052555214,-0.05142238,-0.26714743,-0.030857363,-0.216004436,-0.010285714,-0.072281213,-0.370312665,-0.844553828,-3.037343066,-0.809587469,-2.51520866,-2.263652451,-3.181655608,3.055152493,0.922173822,Perut,Kepala,Hormat
0.174857143,0.000849208,-0.185142584,0.186515826,-0.051427888,0.057570978,-0.051428399,-0.257420762,-0.030857149,-0.216000123,-0.010563492,-0.082007811,-0.370564241,-0.851793162,-3.035719026,-0.816535863,0.751702776,-2.270913704,-3.174473471,-2.868002979,0.928910095,Perut,Kepala,Hormat
0.061388889,-0.18,-0.187777778,-0.035,-0.065,0.001944444,-0.05,-0.27,-0.029444444,-0.21,-0.000555556,-0.07,-0.237222222,-0.336944444,2.184164709,1.428763216,2.232160695,-2.02821057,-3.097770816,-2.661120993,0.412131531,Perut,Perut,Hamba
0.071705247,-0.185,-0.189104938,-0.041805556,-0.060972222,-0.006612654,-0.030555556,-0.2575,-0.020817901,-0.215833333,0.008040123,-0.081944444,-0.225478395,-0.331859568,2.273305708,1.483032125,-0.231432889,-2.0810953,-2.682865759,-3.020386118,0.402874058,Perut,Perut,Hamba
0.061721995,-0.185142747,-0.215107334,-0.045371764,-0.05433717,0.00258749,-0.028125429,-0.257143133,-0.020571619,-0.220999871,0.014450648,-0.077285451,-0.18925577,-0.337786929,2.239983019,1.499243344,2.894436186,-2.054920601,-1.498202123,-2.943208176,0.387346246,Perut,Perut,Hamba
0.071992278,-0.195142854,-0.216252982,-0.041538105,-0.061509366,0.001738541,-0.020781262,-0.257142865,-0.000571434,-0.236138885,0.010401407,-0.072146818,-0.175257105,-0.340771859,2.273324686,1.44744036,3.005215328,-2.013586312,-3.103379394,-3.081451382,0.38321236,Perut,Perut,Hamba
0.072131167,-0.193761684,-0.226409146,-0.05142094,-0.057817523,0.007447329,-0.030293813,-0.256309524,-0.000278219,-0.226293317,0.010563581,-0.082254743,-0.168476279,-0.33657467,2.247550323,1.478730767,2.866082344,-2.035699814,-3.111558496,-3.098737932,0.376406605,Perut,Perut,Hamba
0.082003644,-0.185382269,-0.228233587,-0.051428359,-0.060217153,0.006040204,-0.020841495,-0.248508598,-0.010007728,-0.226285925,0.010293433,-0.082284854,-0.174124341,-0.33518263,2.337504052,1.41529358,2.902327849,-2.024719365,-3.190766777,-3.057890433,0.377723375,Perut,Perut,Hamba
0.082192904,-0.195413104,-0.233524872,-0.051428571,-0.062855106,0.005537068,-0.020571637,-0.256943294,-0.0102855,-0.226285714,0.010316584,-0.076436948,-0.166446084,-0.328831159,2.318154523,1.429204852,2.918835739,-2.028671104,-3.195894805,-3.046092028,0.368574983,Perut,Perut,Hamba
0.082283136,-0.195428142,-0.226486802,-0.051428571,-0.065357086,0.009042696,-0.020571434,-0.255192869,-0.020285708,-0.226285714,0.008619905,-0.072123249,-0.182679058,-0.328023088,2.298389761,1.435450617,2.858208904,-2.019494197,3.04263175,-3.017298888,0.375504969,Perut,Perut,Hamba
0.082285712,-0.185150793,-0.226285869,-0.051428571,-0.06438685,0.002383521,-0.020610009,-0.257141353,-0.01029343,-0.226285714,0.010268997,-0.072000095,-0.172208857,-0.321240759,2.357343016,1.415379771,2.96225753,-1.962712223,-3.190996185,-3.038882579,0.364509171,Perut,Perut,Hamba
0.082285714,-0.185143078,-0.226285719,-0.051428571,-0.064566301,0.003121764,-0.0205725,-0.257142815,-0.010285929,-0.226285714,0.01028525,-0.072000003,-0.172005802,-0.32197891,2.357387275,1.415364703,2.949938888,-1.962469811,-3.19582473,-3.038685725,0.36506251,Perut,Perut,Hamba
0.082285714,-0.195142863,-0.226285714,-0.051428571,-0.063182397,0.00453116,-0.020571458,-0.256309523,-0.01028572,-0.226285714,0.010007924,-0.072,-0.173666828,-0.323388303,2.279780415,1.435066168,2.926659387,-1.966785278,-3.195682919,-3.042621841,0.367089167,Perut,Perut,Hamba
0.033333333,-0.223611111,-0.058888889,-0.052222222,-0.004444444,0.003611111,-0.02,-0.253055556,-0.02,-0.215,0,-0.061944444,-0.37,-0.267777778,2.008635933,2.127185572,1.339013932,-1.955570766,3.127682425,-3.048786857,0.456745402,Perut,Perut,Wadah
0.034537037,-0.219544753,-0.065524691,-0.057006173,-0.002067901,-0.010733025,-0.020555556,-0.263695988,-0.020555556,-0.217361111,0.007777778,-0.061720679,-0.370277778,-0.267716049,2.074805711,2.154124515,-0.753294516,-2.017948437,3.211908357,-3.003476586,0.456947595,Perut,Perut,Wadah
0.040188686,-0.234490389,-0.057511979,-0.054496147,-0.002486164,-0.008164146,-0.020571416,-0.257147914,-0.010293639,-0.216278828,0.000561557,-0.061714291,-0.37772398,-0.258277559,2.077389779,2.205548144,-0.775664669,-2.077422027,-3.193178168,-3.173156826,0.45763583,Perut,Perut,Wadah
0.041116352,-0.216513622,-0.042430888,-0.080680449,-0.009235727,-0.011060115,-0.020571428,-0.257142998,-0.020285934,-0.216007745,1.56E-05,-0.059769841,-0.390492333,-0.245229932,2.102774545,2.538340201,1.763594248,-2.079223769,3.037771539,-3.134784192,0.461133536,Perut,Perut,Wadah
0.041142837,-0.209611507,-0.063265765,-0.08290176,-0.00834046,-0.016057917,-0.020571429,-0.247104277,-0.020571208,-0.225483031,0.000254642,-0.052175748,-0.380424763,-0.236763295,2.109581275,2.357865197,-0.805752085,-2.064463516,3.223055271,-3.133304627,0.448087601,Perut,Perut,Wadah
0.041142857,-0.215822542,-0.057312938,-0.093969493,-0.002731679,0.000109502,-0.020571429,-0.246864008,-0.020571422,-0.226263418,0.008618184,-0.051449326,-0.373900688,-0.235465647,2.103668754,2.46196024,-0.257214547,-2.082175056,3.223603311,-2.967989496,0.441889858,Perut,Perut,Wadah
0.041104277,-0.209888752,-0.061703174,-0.118791643,-9.47E-05,0.009961504,-0.020571429,-0.246857148,-0.020571429,-0.226285697,0.005855415,-0.05144402,-0.374632639,-0.226439403,2.108860912,2.538635411,0.48985916,-2.08268071,3.223618958,-3.022518981,0.437759649,Perut,Perut,Wadah
0.041141785,-0.215830243,-0.061713977,-0.113299768,-2.63E-06,0.010276708,-0.020571429,-0.246857143,-0.020571429,-0.226285714,0.00016265,-0.051429001,-0.380406462,-0.226289983,2.12048217,2.524542077,0.512953921,-2.064780188,3.223618969,-3.134891627,0.442624855,Perut,Perut,Wadah
0.031081128,-0.215760671,-0.062563051,-0.111067361,0.001404319,0.008703917,-0.020571429,-0.246857143,-0.015849206,-0.21684127,0.004722348,-0.060873016,-0.371682412,-0.227018742,2.041910672,2.558192159,0.328294419,-2.082667288,0.274815141,-3.077473075,0.435534692,Perut,Perut,Wadah
0.040863365,-0.215993352,-0.057293418,-0.094751871,-0.013016547,-0.006980447,-0.020571429,-0.246857143,-0.015995811,-0.22463448,0.005686732,-0.053079806,-0.3717134,-0.227417187,2.101789015,2.479828432,1.202138597,-2.064779816,0.368690022,-3.050741736,0.435777007,Perut,Perut,Wadah
0.038079538,-0.215999815,-0.042980373,-0.08346533,-0.022028237,-0.019360568,-0.020571429,-0.250190476,-0.020444328,-0.216239847,0.000435743,-0.061474439,-0.380047594,-0.226317144,2.095843941,2.563359892,2.294314512,-2.047475354,3.13891982,-3.12679631,0.442331882,Perut,Perut,Wadah
0.093611111,-0.224444444,-0.103333333,-0.041111111,-0.055555556,-0.004722222,-0.076944444,-0.233611111,0.108055556,-0.045555556,0.039722222,-0.006388889,-0.203888889,-0.020555556,2.235546773,1.545780441,2.826155465,-2.186290351,-1.65966274,-1.619667077,0.205138038,Perut,Perut,Gang
0.073155864,-0.22345679,-0.112037037,-0.060864198,-0.04904321,-0.013186728,-0.062137346,-0.23621142,0.08966821,-0.070432099,0.074436728,-0.01628858,-0.159552469,-0.025570988,2.234481865,1.795852219,1.733413382,-2.173067937,-2.046034405,-1.530615195,0.161854342,Perut,Perut,Gang
0.073767867,-0.224477976,-0.106104967,-0.074182766,-0.058942163,-0.019886718,-0.056691464,-0.243762509,0.072329991,-0.083719469,0.077225646,-0.020853618,-0.165570642,-0.029788249,2.23673049,1.91836661,2.592115215,-2.14484952,-2.264576316,-2.611404361,0.168311463,Perut,Perut,Gang
0.070382441,-0.245124388,-0.107391805,-0.072616188,-0.044970616,-0.024996853,-0.031574763,-0.24566007,0.043953611,-0.065936652,0.038534046,-0.030579267,-0.206821407,-0.009438562,2.207272346,1.940197884,1.733722301,-2.102733117,-2.499235405,-2.049958444,0.207400532,Perut,Perut,Gang
0.081458628,-0.247133584,-0.145607555,-0.068389364,-0.046547045,-0.025165893,-0.050302141,-0.24730375,0.100820952,-0.100320939,0.051464918,-0.016944891,-0.13692656,-0.035107591,2.23116046,1.744287314,-0.731910181,-2.170209948,-2.215346587,-2.746677047,0.141561986,Perut,Perut,Gang
0.075040517,-0.2496426,-0.136822432,-0.062177482,-0.051292973,-0.030421275,-0.043619504,-0.265202882,0.102245026,-0.099175582,0.045596248,-0.025748469,-0.132414627,-0.050975211,2.194864125,1.754415905,-2.877886809,-2.079312798,-2.239242,-2.787995212,0.141926732,Perut,Perut,Gang
0.06412426,-0.225100033,-0.107327795,-0.107872051,-0.056984022,-0.034707115,-0.044200324,-0.231153706,0.084531053,-0.101326524,0.060305244,-0.034556905,-0.148890752,-0.013303222,2.173647009,2.141142524,2.956767302,-2.157255914,-2.323775723,-2.837058664,0.150973068,Perut,Perut,Gang
0.062059007,-0.217919445,-0.103536883,-0.111329779,-0.061027334,-0.040408531,-0.046783342,-0.230309825,0.087070307,-0.116425737,0.056952923,-0.035404358,-0.149969188,-0.022869534,2.139714393,2.17525511,2.811409454,-2.117281757,-2.365458372,-2.470636835,0.152561367,Perut,Perut,Gang
0.061907453,-0.226657345,-0.123675569,-0.084692384,-0.051343385,-0.04323334,-0.057559246,-0.226288819,0.080206073,-0.112890761,0.07306092,-0.060058182,-0.140972198,-0.054940486,2.163293612,1.958699593,-2.406268535,-2.20046106,-2.342768786,-2.958520928,0.151562972,Perut,Perut,Gang
0.061719651,-0.226296037,-0.123435432,-0.082352566,-0.051426205,-0.051200926,-0.041876646,-0.226285801,0.079450169,-0.119802521,0.06952947,-0.05333495,-0.139193672,-0.049859458,2.131551881,1.946955203,-3.011037886,-2.0900474,-2.443987019,-2.890605107,0.14816732,Perut,Perut,Gang
